lens_id,jurisdiction,source,is_classified,itc_codes,n_itc_tags,cpc_rule_domains,keyword_rule_domains,status,title_truncated,screening_category,analysis_set_443,adjudication_action
172-275-795-866-748,US,r2_keep,True,4-3,1,,2-4;4-3,included_classified,Autonomous mobile mechanically deployed spaceport to provide a self-leveling sta,included_classified,true,suppress
102-023-038-110-548,US,r2_keep,True,1-1;1-2,2,,1-2;2-4,included_classified,Mass-Optimized Geogrid for Regolith and Soil Stabilization in Extraterrestrial a,included_classified,true,add+suppress
001-644-359-654-888,WO,r2_keep,True,2-1;2-2;2-3;2-4;3-1;4-1,6,2-1;2-3;2-4,2-1;4-1,included_classified,SOLAR ENERGY-BASED 3D PRINTING PLATFORM FOR THE CONSTRUCTION OF EXTRATERRESTRIAL,included_classified,true,add
050-086-714-811-491,US,r2_keep,True,4-3;4-4,2,4-3;4-4,2-4;4-3;4-4,included_classified,DEPLOYABLE LUNAR LANDING PADS FOR SPACE MINING APPLICATIONS,included_classified,true,suppress
062-567-139-510-205,US,r2_keep,True,4-1;4-2;4-4,3,4-4,2-4;3-1;4-1;4-4,included_classified,Inflatable docking station/garage for Mars rover,included_classified,true,add+suppress
190-071-867-525-212,CN,r2_keep,True,1-2;2-3;3-3;4-1;4-5,5,2-3,1-2;4-1,included_classified,Moon base energy supply system based on solar energy and lunar in-situ resource ,included_classified,true,add
106-594-158-271-391,CN,r2_keep,True,1-1;2-1;2-3,3,2-1,2-1,included_classified,3D printing equipment applied to lunar soil resources in lunar craters,included_classified,true,add
123-475-504-559-879,US,r2_keep,True,2-1,1,,2-4,included_classified,"SPACE ANCHORS FOR USE ON THE MOON, MARS AND OTHER EXTRATERRESTRIAL BODIES",included_classified,true,add+suppress
054-841-991-520-336,WO,r2_keep,True,2-1,1,2-1,2-1,included_classified,REGOLITH-BASED COMPOSITIONS,included_classified,true,keep
068-937-559-043-352,CN,r2_keep,True,4-1,1,3-3;4-1,2-4;4-1,included_classified,Lunar soil bag stacking construction method and system using descending stage of,included_classified,true,suppress
068-596-540-230-809,CN,r2_keep,True,2-1;2-4;4-1,3,2-1;2-4,1-2;2-1,included_classified,Low-power-consumption extraterrestrial celestial body in-situ additive manufactu,included_classified,true,add+suppress
039-528-385-518-952,US,r2_keep,True,1-1;1-2;1-3;4-1,4,,4-3,included_classified,"Materials, Methods, and Apparatus for Lunar Engineered Regolith Infrastructure",included_classified,true,add+suppress
146-821-351-857-456,CN,r2_keep,True,1-2;2-1,2,1-2;2-1,1-2;2-1,included_classified,Lunar regolith concrete suitable for being extruded and preparation method there,included_classified,true,keep
